date,area,category,complaint_type,severity,status,department,notes
2026-07-12,Koramangala,Sanitation,Public toilet issue,low,Resolved,Sanitation Dept,Recurring issue during monsoon.
2026-06-25,Rajajinagar,Noise,Loud construction,medium,In Progress,Environment Cell,Escalated after no response in 72 hours.
2026-07-20,Koramangala,Waste Collection,Delayed collection,high,In Progress,Sanitation Dept,Flagged by community volunteer.
2026-07-03,Basavanagudi,Noise,Loud construction,low,Resolved,Environment Cell,Affects a school zone nearby.
2026-07-04,Jayanagar,Noise,Loud construction,medium,Resolved,Environment Cell,Flagged by community volunteer.
2026-06-30,Domlur,Public Health,Open garbage,high,Resolved,Health Dept,Escalated after no response in 72 hours.
2026-05-29,Basavanagudi,Sanitation,Blocked sewer,high,Resolved,Sanitation Dept,Affects a school zone nearby.
2026-07-07,Domlur,Waste Collection,Delayed collection,medium,Open,Sanitation Dept,Flagged by community volunteer.
2026-06-26,Basavanagudi,Noise,Late-night party,high,Open,Environment Cell,Flagged by community volunteer.
2026-06-09,Koramangala,Water Supply,Contaminated water,medium,Open,Water Board,Reported via city helpline.
2026-07-05,Koramangala,Waste Collection,Overflowing bin,medium,Resolved,Sanitation Dept,Affects a school zone nearby.
2026-06-09,Rajajinagar,Public Health,Mosquito breeding,medium,Resolved,Health Dept,Third complaint from the same street.
2026-05-30,Jayanagar,Public Health,Open garbage,high,In Progress,Health Dept,Photo evidence attached by citizen.
2026-07-22,Basavanagudi,Noise,Late-night party,medium,Resolved,Environment Cell,Flagged by community volunteer.
2026-07-05,Malleshwaram,Roads,Blocked drain,low,In Progress,Public Works,Affects a school zone nearby.
2026-07-13,Rajajinagar,Public Health,Food safety,low,Open,Health Dept,Recurring issue during monsoon.
2026-07-21,Vijayanagar,Sanitation,Stagnant water,medium,In Progress,Sanitation Dept,
2026-07-19,Rajajinagar,Public Health,Food safety,low,Open,Health Dept,
2026-07-10,BTM Layout,Public Health,Stray animals,low,Open,Health Dept,Affects a school zone nearby.
2026-07-09,Domlur,Noise,Late-night party,low,In Progress,Environment Cell,Affects a school zone nearby.
2026-07-22,BTM Layout,Water Supply,Low pressure,critical,In Progress,Water Board,
2026-06-05,Koramangala,Water Supply,Contaminated water,medium,In Progress,Water Board,Photo evidence attached by citizen.
2026-06-18,Rajajinagar,Public Health,Stray animals,low,Resolved,Health Dept,Affects a school zone nearby.
2026-06-07,Rajajinagar,Water Supply,Leak,medium,In Progress,Water Board,Recurring issue during monsoon.
2026-07-18,Koramangala,Waste Collection,Overflowing bin,high,Resolved,Sanitation Dept,Reported via city helpline.
2026-07-20,Jayanagar,Roads,Damaged signage,medium,Open,Public Works,Affects a school zone nearby.
2026-07-11,Koramangala,Water Supply,No supply,low,Open,Water Board,Resident reported repeatedly this month.
2026-07-02,Koramangala,Public Health,Food safety,low,Open,Health Dept,
2026-06-02,Basavanagudi,Noise,Loud construction,medium,Resolved,Environment Cell,Recurring issue during monsoon.
2026-06-06,Domlur,Roads,Pothole,medium,Open,Public Works,Photo evidence attached by citizen.
2026-06-08,BTM Layout,Waste Collection,Overflowing bin,low,Resolved,Sanitation Dept,Escalated after no response in 72 hours.
2026-07-04,Vijayanagar,Roads,Damaged signage,medium,Open,Public Works,Flagged by community volunteer.
2026-06-28,Koramangala,Waste Collection,Illegal dumping,medium,Open,Sanitation Dept,Affects a school zone nearby.
2026-07-21,Koramangala,Waste Collection,Delayed collection,high,Open,Sanitation Dept,Escalated after no response in 72 hours.
2026-07-22,Basavanagudi,Noise,Loud construction,medium,In Progress,Environment Cell,Third complaint from the same street.
2026-07-19,Domlur,Sanitation,Foul smell,high,In Progress,Sanitation Dept,
2026-06-15,Koramangala,Sanitation,Blocked sewer,medium,Resolved,Sanitation Dept,Resident reported repeatedly this month.
2026-06-22,Koramangala,Public Health,Stray animals,high,Open,Health Dept,Recurring issue during monsoon.
2026-06-10,Malleshwaram,Public Health,Food safety,high,Resolved,Health Dept,Resident reported repeatedly this month.
2026-06-10,Koramangala,Public Health,Open garbage,low,Escalated,Health Dept,
2026-06-20,Domlur,Roads,Blocked drain,medium,Open,Public Works,Escalated after no response in 72 hours.
2026-07-01,Jayanagar,Waste Collection,Missed pickup,medium,In Progress,Sanitation Dept,Flagged by community volunteer.
2026-06-08,Koramangala,Noise,Loud construction,low,Open,Environment Cell,Affects a school zone nearby.
2026-07-06,Basavanagudi,Waste Collection,Illegal dumping,medium,Resolved,Sanitation Dept,Recurring issue during monsoon.
2026-07-18,Koramangala,Waste Collection,Illegal dumping,medium,Open,Sanitation Dept,Flagged by community volunteer.
2026-06-18,Domlur,Waste Collection,Illegal dumping,low,In Progress,Sanitation Dept,Recurring issue during monsoon.
2026-07-07,Koramangala,Waste Collection,Missed pickup,high,Open,Sanitation Dept,
2026-07-03,Koramangala,Sanitation,Foul smell,medium,Resolved,Sanitation Dept,
2026-07-23,BTM Layout,Public Health,Mosquito breeding,medium,In Progress,Health Dept,Reported via city helpline.
2026-07-09,Koramangala,Noise,Traffic noise,low,Open,Environment Cell,Recurring issue during monsoon.
2026-06-22,Rajajinagar,Waste Collection,Delayed collection,medium,Resolved,Sanitation Dept,
2026-07-12,BTM Layout,Water Supply,Leak,medium,Open,Water Board,Escalated after no response in 72 hours.
2026-07-11,Koramangala,Noise,Industrial noise,medium,In Progress,Environment Cell,Affects a school zone nearby.
2026-07-01,Domlur,Public Health,Open garbage,low,Open,Health Dept,Photo evidence attached by citizen.
2026-07-17,Koramangala,Waste Collection,Overflowing bin,high,Resolved,Sanitation Dept,Recurring issue during monsoon.
2026-05-30,Koramangala,Water Supply,No supply,low,Open,Water Board,Flagged by community volunteer.
2026-07-02,Koramangala,Noise,Loud construction,critical,Escalated,Environment Cell,
2026-07-18,Koramangala,Waste Collection,Overflowing bin,high,Open,Sanitation Dept,Flagged by community volunteer.
2026-07-22,Rajajinagar,Water Supply,Low pressure,medium,Open,Water Board,
2026-07-17,Koramangala,Sanitation,Blocked sewer,low,Open,Sanitation Dept,Recurring issue during monsoon.
2026-07-17,Basavanagudi,Noise,Late-night party,low,Open,Environment Cell,
2026-06-27,Jayanagar,Roads,Damaged signage,medium,Open,Public Works,
2026-07-17,Koramangala,Waste Collection,Delayed collection,high,Resolved,Sanitation Dept,Affects a school zone nearby.
2026-06-23,Koramangala,Roads,Pothole,critical,Resolved,Public Works,Resident reported repeatedly this month.
2026-07-03,Jayanagar,Sanitation,Blocked sewer,medium,In Progress,Sanitation Dept,Third complaint from the same street.
2026-06-05,Vijayanagar,Waste Collection,Missed pickup,medium,Open,Sanitation Dept,Resident reported repeatedly this month.
2026-06-02,Koramangala,Water Supply,Low pressure,medium,Open,Water Board,Resident reported repeatedly this month.
2026-06-29,Jayanagar,Sanitation,Blocked sewer,low,Open,Sanitation Dept,Flagged by community volunteer.
2026-07-16,Basavanagudi,Water Supply,No supply,high,Resolved,Water Board,
2026-06-08,Basavanagudi,Waste Collection,Overflowing bin,low,Open,Sanitation Dept,
2026-06-18,Koramangala,Sanitation,Public toilet issue,critical,In Progress,Sanitation Dept,Resident reported repeatedly this month.
2026-07-09,Koramangala,Public Health,Food safety,high,Open,Health Dept,Recurring issue during monsoon.
2026-06-30,Koramangala,Roads,Pothole,low,Resolved,Public Works,
2026-07-18,Koramangala,Roads,Damaged signage,critical,Resolved,Public Works,Photo evidence attached by citizen.
2026-07-08,Koramangala,Public Health,Stray animals,low,Open,Health Dept,Flagged by community volunteer.
2026-07-22,Koramangala,Sanitation,Public toilet issue,medium,Resolved,Sanitation Dept,Photo evidence attached by citizen.
2026-06-19,Jayanagar,Sanitation,Blocked sewer,low,Escalated,Sanitation Dept,Recurring issue during monsoon.
2026-07-20,Koramangala,Waste Collection,Overflowing bin,high,Escalated,Sanitation Dept,Escalated after no response in 72 hours.
2026-06-12,Jayanagar,Roads,Blocked drain,medium,Open,Public Works,Recurring issue during monsoon.
2026-06-28,Domlur,Noise,Traffic noise,low,Resolved,Environment Cell,Reported via city helpline.
2026-06-06,Domlur,Waste Collection,Missed pickup,low,Open,Sanitation Dept,Escalated after no response in 72 hours.
2026-07-05,Koramangala,Sanitation,Foul smell,medium,Open,Sanitation Dept,Third complaint from the same street.
2026-06-16,Rajajinagar,Roads,Blocked drain,medium,In Progress,Public Works,
2026-07-17,BTM Layout,Public Health,Food safety,medium,Resolved,Health Dept,Flagged by community volunteer.
2026-06-21,Koramangala,Water Supply,Low pressure,high,Open,Water Board,Third complaint from the same street.
2026-06-04,Jayanagar,Water Supply,Low pressure,medium,Resolved,Water Board,Flagged by community volunteer.
2026-06-29,Domlur,Noise,Late-night party,medium,Resolved,Environment Cell,Recurring issue during monsoon.
2026-06-15,Koramangala,Public Health,Food safety,medium,Open,Health Dept,Recurring issue during monsoon.
2026-06-04,Basavanagudi,Public Health,Open garbage,medium,In Progress,Health Dept,Reported via city helpline.
2026-07-23,Koramangala,Waste Collection,Overflowing bin,high,In Progress,Sanitation Dept,Affects a school zone nearby.
2026-07-17,Domlur,Noise,Industrial noise,medium,Open,Environment Cell,Flagged by community volunteer.
2026-07-19,Vijayanagar,Public Health,Mosquito breeding,medium,Resolved,Health Dept,Resident reported repeatedly this month.
2026-06-27,Rajajinagar,Water Supply,Low pressure,medium,Resolved,Water Board,Reported via city helpline.
2026-07-18,Koramangala,Waste Collection,Overflowing bin,high,Resolved,Sanitation Dept,Reported via city helpline.
2026-06-05,Koramangala,Public Health,Food safety,medium,In Progress,Health Dept,
2026-06-04,Koramangala,Waste Collection,Overflowing bin,medium,In Progress,Sanitation Dept,Photo evidence attached by citizen.
2026-07-01,Domlur,Waste Collection,Illegal dumping,high,In Progress,Sanitation Dept,Affects a school zone nearby.
